Timestamp,Threat_Type,Source_IP,Destination_IP,Severity,Description
2026-01-01 12:18:39,Ransomware,228.3.209.96,176.209.12.190,Critical,Ransom note detected
2026-01-01 12:18:41,Ransomware,159.81.94.135,199.147.229.48,Critical,File encryption started
2026-01-01 12:18:42,Ransomware,87.187.57.82,81.187.144.240,Critical,File encryption started
2026-01-01 12:18:44,Ransomware,26.139.242.158,170.204.197.69,Critical,Shadow copy deletion
2026-01-01 12:18:48,Malware,255.130.46.187,67.125.143.105,Medium,Rootkit found
2026-01-01 12:18:49,DDoS,162.193.149.50,63.27.192.161,Low,SYN flood
2026-01-01 12:18:52,DDoS,57.190.120.124,181.88.121.52,Medium,HTTP flood
2026-01-01 12:18:54,Ransomware,81.235.69.244,188.191.77.132,Critical,Shadow copy deletion
2026-01-01 12:18:56,Ransomware,126.19.131.202,6.28.148.112,Critical,Shadow copy deletion
2026-01-01 12:18:59,Ransomware,154.251.252.188,128.34.39.76,Critical,Shadow copy deletion
2026-01-01 12:19:01,Malware,191.202.12.235,241.220.88.87,Critical,Spyware activity
2026-01-01 12:19:05,Phishing,21.159.95.251,151.193.41.189,High,Spear phishing attempt
2026-01-01 12:19:06,DDoS,165.110.97.112,134.197.220.241,Low,SYN flood
2026-01-01 12:19:09,Ransomware,142.201.82.134,214.190.109.194,Critical,Shadow copy deletion
2026-01-01 12:19:10,Brute Force,19.145.222.25,29.49.125.225,Critical,FTP unauthorized access
2026-01-01 12:19:12,Ransomware,230.25.132.166,102.1.249.149,Critical,Ransom note detected
2026-01-01 12:19:16,DDoS,112.104.140.241,86.228.206.164,Low,SYN flood
2026-01-01 12:19:19,Phishing,189.181.249.71,145.98.80.99,Medium,Suspicious email
2026-01-01 12:19:20,Phishing,89.147.132.76,233.34.142.54,High,Suspicious email
2026-01-01 12:19:23,Malware,134.63.255.76,193.155.13.221,Low,Spyware activity
2026-01-01 12:19:25,Phishing,59.191.149.247,170.226.198.243,Low,Spear phishing attempt
2026-01-01 12:19:26,Ransomware,248.19.205.247,70.67.195.138,Critical,Encrypted backup attempt
2026-01-01 12:19:30,DDoS,224.2.243.79,31.168.141.114,Low,HTTP flood
2026-01-01 12:19:31,DDoS,193.76.147.38,102.77.211.132,High,UDP flood
2026-01-01 12:19:33,Ransomware,193.80.246.247,43.254.236.203,Critical,Ransom note detected
2026-01-01 12:19:36,Ransomware,8.115.126.183,206.249.37.240,Critical,Shadow copy deletion
2026-01-01 12:19:39,Phishing,195.146.91.115,29.181.67.61,Low,Credential harvesting
2026-01-01 12:19:42,DDoS,192.199.52.71,184.214.50.234,High,UDP flood
2026-01-01 12:19:44,Phishing,171.21.230.206,240.197.8.156,High,Credential harvesting
2026-01-01 12:19:47,Brute Force,199.221.193.48,157.203.193.112,Low,FTP unauthorized access
2026-01-01 12:19:51,Brute Force,159.53.150.225,153.98.144.176,Low,SSH dictionary attack
2026-01-01 12:19:53,DDoS,177.194.97.157,162.68.154.46,High,HTTP flood
2026-01-01 12:19:57,Phishing,90.55.247.168,52.43.83.68,Low,Suspicious email
2026-01-01 12:19:58,Ransomware,16.93.83.155,251.192.146.48,Critical,Ransom note detected
2026-01-01 12:20:01,Brute Force,195.252.35.138,197.74.190.228,High,FTP unauthorized access
2026-01-01 12:20:02,DDoS,117.212.75.170,62.61.76.110,High,Traffic spike detected
2026-01-01 12:20:04,Phishing,152.166.54.187,248.145.32.69,Critical,Suspicious email
2026-01-01 12:20:07,DDoS,216.112.247.176,19.237.240.151,Low,UDP flood
2026-01-01 12:20:09,Ransomware,112.187.147.161,104.146.187.20,Critical,Ransom note detected
2026-01-01 12:20:11,Malware,155.98.99.33,123.150.209.34,Low,Worm propagation
2026-01-01 12:20:12,Ransomware,218.120.8.216,181.1.15.116,Critical,File encryption started
2026-01-01 12:20:14,Ransomware,68.6.32.206,199.232.16.20,Critical,Shadow copy deletion
2026-01-01 12:20:17,Brute Force,223.39.158.124,243.49.249.2,Medium,FTP unauthorized access
2026-01-01 12:20:19,Malware,201.27.109.114,90.138.20.231,High,Spyware activity
2026-01-01 12:20:22,DDoS,111.234.109.195,127.204.14.197,High,SYN flood
2026-01-01 12:20:23,Malware,93.205.117.40,232.169.47.201,Low,Worm propagation
2026-01-01 12:20:25,Phishing,56.193.33.99,13.224.71.34,High,Suspicious email
2026-01-01 12:20:26,Ransomware,188.160.112.38,163.200.118.39,Critical,Ransom note detected
2026-01-01 12:20:28,Ransomware,170.142.100.67,101.239.136.253,Critical,File encryption started
2026-01-01 12:20:31,Malware,230.72.234.103,17.195.114.78,High,Worm propagation
2026-01-01 12:20:34,DDoS,84.7.76.109,103.158.123.142,Medium,HTTP flood
2026-01-01 12:20:37,Brute Force,13.71.70.241,106.196.86.42,Medium,SSH dictionary attack
2026-01-01 12:20:40,Malware,188.29.208.205,181.233.164.63,Medium,Spyware activity
2026-01-01 12:20:43,Phishing,72.101.141.121,130.36.35.216,High,Spear phishing attempt
2026-01-01 12:20:47,Malware,31.229.47.209,210.126.67.96,Low,Rootkit found
2026-01-01 12:20:50,Brute Force,33.59.45.179,225.193.82.39,High,FTP unauthorized access
2026-01-01 12:20:52,DDoS,181.45.13.117,148.187.65.221,High,HTTP flood
2026-01-01 12:20:56,Brute Force,208.216.155.86,113.132.161.227,Medium,Multiple login failures
2026-01-01 12:20:58,Brute Force,208.200.207.129,40.25.67.183,Low,RDP brute force
2026-01-01 12:21:01,Ransomware,222.175.46.233,222.84.161.229,Critical,Ransom note detected
2026-01-01 12:21:03,DDoS,96.122.181.176,125.236.149.75,Low,UDP flood
2026-01-01 12:21:05,Malware,137.25.156.239,24.190.134.204,Medium,Trojan detected
2026-01-01 12:21:08,DDoS,188.77.191.236,29.15.5.102,Medium,UDP flood
2026-01-01 12:21:10,Phishing,208.254.3.168,254.69.28.127,Critical,Suspicious email
2026-01-01 12:21:13,Ransomware,39.28.246.176,239.1.236.61,Critical,File encryption started
2026-01-01 12:21:16,Ransomware,135.206.182.99,39.197.140.89,Critical,Shadow copy deletion
2026-01-01 12:21:17,Brute Force,23.81.211.52,42.7.187.98,Low,SSH dictionary attack
2026-01-01 12:21:18,Phishing,207.159.186.60,170.180.202.44,High,Fake login page
2026-01-01 12:21:22,Phishing,123.19.156.244,24.43.100.237,Medium,Fake login page
2026-01-01 12:21:24,DDoS,86.121.25.43,246.118.142.241,Medium,SYN flood
2026-01-01 12:21:27,DDoS,240.30.65.112,4.63.220.3,Low,Traffic spike detected
2026-01-01 12:21:30,Ransomware,177.46.252.231,239.232.49.229,Critical,Shadow copy deletion
2026-01-01 12:21:33,DDoS,92.55.226.45,130.132.210.106,High,SYN flood
2026-01-01 12:21:34,Malware,127.67.191.88,97.102.95.81,Critical,Spyware activity
2026-01-01 12:21:36,Ransomware,91.42.211.187,127.215.155.2,Critical,Encrypted backup attempt
2026-01-01 12:21:40,Phishing,217.145.238.124,198.203.125.20,Low,Spear phishing attempt
2026-01-01 12:21:43,DDoS,184.124.255.229,5.102.244.122,High,Traffic spike detected
2026-01-01 12:21:46,Malware,30.71.107.154,211.37.62.67,Low,Worm propagation
2026-01-01 12:21:49,DDoS,166.142.112.104,14.94.19.244,Low,UDP flood
2026-01-01 12:21:52,Phishing,123.149.27.238,160.8.243.51,Critical,Spear phishing attempt
2026-01-01 12:21:53,DDoS,37.126.181.114,178.194.78.53,High,UDP flood
2026-01-01 12:21:56,Brute Force,27.174.114.47,28.45.140.190,Low,FTP unauthorized access
2026-01-01 12:21:59,Phishing,212.52.66.67,77.173.115.159,Low,Suspicious email
2026-01-01 12:22:01,DDoS,19.210.172.7,160.185.254.126,Medium,SYN flood
2026-01-01 12:22:04,Malware,227.128.40.197,104.235.225.25,Low,Trojan detected
2026-01-01 12:22:07,Ransomware,43.57.235.224,232.87.120.115,Critical,Encrypted backup attempt
2026-01-01 12:22:09,DDoS,119.53.79.249,139.171.14.69,Low,Traffic spike detected
2026-01-01 12:22:10,Brute Force,121.99.133.189,214.66.251.131,Low,RDP brute force
2026-01-01 12:22:12,Ransomware,68.56.232.115,127.9.169.96,Critical,Shadow copy deletion
2026-01-01 12:22:14,Ransomware,184.72.156.156,37.198.239.65,Critical,Ransom note detected
2026-01-01 12:22:18,Brute Force,6.48.210.74,10.98.222.141,Low,RDP brute force
2026-01-01 12:22:21,DDoS,58.194.95.128,183.185.221.91,Medium,HTTP flood
2026-01-01 12:22:24,Malware,23.177.18.195,125.36.44.38,High,Rootkit found
2026-01-01 12:22:26,Brute Force,210.246.55.86,143.197.191.2,Medium,RDP brute force
2026-01-01 12:22:28,Phishing,14.239.39.161,7.209.134.137,High,Spear phishing attempt
2026-01-01 12:22:30,Ransomware,226.33.42.164,7.168.225.137,Critical,Shadow copy deletion
2026-01-01 12:22:32,Phishing,247.62.99.117,122.187.212.27,Low,Spear phishing attempt
2026-01-01 12:22:35,Ransomware,8.141.93.130,111.2.175.97,Critical,Encrypted backup attempt
2026-01-01 12:22:36,DDoS,171.27.160.55,186.164.217.107,Critical,UDP flood
2026-01-01 12:22:38,Brute Force,204.187.40.247,126.105.176.48,Low,Multiple login failures
2026-01-01 12:22:41,Phishing,107.181.22.75,108.54.42.32,Low,Fake login page
2026-01-01 12:22:44,Phishing,212.31.209.202,62.97.85.196,High,Spear phishing attempt
2026-01-01 12:22:47,Phishing,216.32.141.33,64.118.239.178,High,Spear phishing attempt
2026-01-01 12:22:51,Malware,17.215.67.29,116.200.19.25,High,Worm propagation
2026-01-01 12:22:52,Brute Force,172.139.164.86,65.233.168.48,High,Multiple login failures
2026-01-01 12:22:56,Malware,62.239.127.211,252.253.116.153,Medium,Worm propagation
2026-01-01 12:22:58,Malware,64.134.254.201,5.169.9.142,High,Spyware activity
2026-01-01 12:23:01,Malware,51.60.27.190,183.205.209.178,Medium,Rootkit found
2026-01-01 12:23:04,Ransomware,95.165.226.3,169.81.150.234,Critical,Encrypted backup attempt
2026-01-01 12:23:07,Phishing,154.4.60.201,6.197.67.254,High,Suspicious email
2026-01-01 12:23:09,DDoS,91.206.117.11,202.18.36.241,Low,Traffic spike detected
2026-01-01 12:23:13,Phishing,64.140.110.232,5.40.111.132,High,Fake login page
2026-01-01 12:23:14,Malware,61.241.140.175,97.177.44.16,Low,Rootkit found
2026-01-01 12:23:17,Ransomware,219.168.176.74,112.7.173.6,Critical,Shadow copy deletion
2026-01-01 12:23:18,DDoS,180.22.169.240,24.250.137.250,High,SYN flood
2026-01-01 12:23:20,DDoS,48.188.226.172,195.108.64.42,Low,SYN flood
2026-01-01 12:23:22,Malware,226.40.99.27,98.76.1.128,Medium,Trojan detected
2026-01-01 12:23:25,Ransomware,1.65.90.251,177.47.235.239,Critical,File encryption started
2026-01-01 12:23:26,DDoS,215.131.182.33,36.127.124.180,High,SYN flood
2026-01-01 12:23:29,Brute Force,212.97.172.131,61.81.21.89,Medium,Multiple login failures
2026-01-01 12:23:32,Ransomware,188.5.111.125,104.31.247.123,Critical,File encryption started
2026-01-01 12:23:34,Phishing,32.249.134.125,192.161.109.91,High,Spear phishing attempt
2026-01-01 12:23:38,Phishing,48.187.48.252,130.124.45.136,Low,Suspicious email
2026-01-01 12:23:41,Ransomware,228.23.189.149,56.183.189.194,Critical,Encrypted backup attempt
2026-01-01 12:23:43,DDoS,223.103.98.230,41.106.179.59,Low,UDP flood
2026-01-01 12:23:46,DDoS,186.34.228.40,113.168.185.169,Low,UDP flood
2026-01-01 12:23:47,DDoS,71.111.202.226,219.115.81.7,Medium,Traffic spike detected
2026-01-01 12:23:50,Ransomware,40.230.126.168,14.1.100.175,Critical,Shadow copy deletion
2026-01-01 12:23:53,Malware,118.163.23.56,103.57.176.153,High,Spyware activity
2026-01-01 12:23:54,Malware,127.196.70.76,253.41.228.21,Critical,Worm propagation
2026-01-01 12:23:57,Phishing,2.134.59.217,41.115.136.190,Low,Spear phishing attempt
2026-01-01 12:23:59,DDoS,83.42.246.38,214.244.96.244,Critical,HTTP flood
2026-01-01 12:24:01,Phishing,185.75.14.123,51.196.246.125,Medium,Credential harvesting
2026-01-01 12:24:03,Phishing,251.45.94.133,110.77.33.7,Medium,Suspicious email
2026-01-01 12:24:05,Malware,104.122.145.22,228.104.251.237,Low,Spyware activity
2026-01-01 12:24:06,Malware,194.248.183.162,24.17.109.243,High,Rootkit found
2026-01-01 12:24:09,DDoS,111.125.220.77,169.192.227.24,Medium,HTTP flood
2026-01-01 12:24:12,DDoS,228.178.165.27,25.141.182.123,Critical,HTTP flood
2026-01-01 12:24:14,Brute Force,142.115.171.182,153.44.194.226,High,Multiple login failures
2026-01-01 12:24:18,Brute Force,63.35.204.93,137.191.190.70,Critical,FTP unauthorized access
2026-01-01 12:24:21,Brute Force,76.86.246.29,172.86.89.131,Critical,FTP unauthorized access
2026-01-01 12:24:24,Phishing,47.48.24.82,253.220.179.65,Medium,Spear phishing attempt
2026-01-01 12:24:28,Brute Force,123.96.210.195,220.250.248.164,Low,RDP brute force
2026-01-01 12:24:31,Brute Force,76.177.6.158,201.175.68.104,Medium,SSH dictionary attack
2026-01-01 12:24:32,Ransomware,230.168.184.68,240.111.161.232,Critical,Shadow copy deletion
2026-01-01 12:24:34,Brute Force,144.38.70.56,247.76.195.7,Low,SSH dictionary attack
2026-01-01 12:24:35,Malware,244.34.134.137,161.122.235.162,High,Spyware activity
2026-01-01 12:24:37,Brute Force,120.169.166.147,16.164.142.56,Low,SSH dictionary attack
2026-01-01 12:24:40,Malware,242.39.212.254,212.63.130.143,Low,Spyware activity
2026-01-01 12:24:42,Ransomware,101.145.115.227,73.62.204.74,Critical,File encryption started
2026-01-01 12:24:45,Brute Force,218.99.65.92,103.133.212.193,Low,RDP brute force
2026-01-01 12:24:47,DDoS,205.164.227.200,89.87.145.246,Medium,HTTP flood
2026-01-01 12:24:51,Malware,12.54.11.221,75.113.72.176,High,Trojan detected
2026-01-01 12:24:54,Brute Force,174.245.245.75,219.139.75.233,Medium,SSH dictionary attack
2026-01-01 12:24:55,Brute Force,42.8.79.53,64.220.186.202,Medium,RDP brute force
2026-01-01 12:24:58,Malware,30.7.243.12,233.187.197.245,High,Rootkit found
2026-01-01 12:25:01,DDoS,16.244.82.181,183.107.124.214,High,SYN flood
2026-01-01 12:29:12,TEST_ATTACK,192.168.1.100,Server_01,Critical,🚨 THIS IS A MANUAL TEST ALERT to verify dashboard connectivity
2026-01-01 12:36:51,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:51,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:51,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:52,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:52,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:52,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:57,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:57,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:58,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:36:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:04,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:04,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:04,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:33,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:33,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:33,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:35,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:35,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:35,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:36,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:36,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:37,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:37:59,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:39:11,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:39:11,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:39:12,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:41:21,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:41:22,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
2026-01-01 12:41:22,Intrusion Attempt,127.0.0.1,Trap_Port_8888,Critical,Unauthorized connection detected on Honeypot Port 8888
